"Mercedes-Benz C-Класс" "$ 20 500" https://im.mashina.kg/tachka/images//3/8/8/388a112dab1ea6b9f69abf8b37d02973_240x180.jpg "2015 г., 1.6л., автоматседан, бензинруль слева, 147 000 км"
"Lexus LX" "$ 24 500" https://im.mashina.kg/tachka/images//1/7/8/178622c29a42cc194a28fe03dededac0_240x180.jpg "2006 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева"
"Lexus GX" "$ 34 800" https://im.mashina.kg/tachka/images//0/4/1/041625ddc5c0abd53ed501b2e62ae17a_240x180.jpg "2010 г., 4.6л., автоматвнедорожник 5 дв., бензинруль слева, 290 000 км"
"Lexus ES" "$ 45 300" https://im.mashina.kg/tachka/images//8/3/5/835e8daf3c16fdbc10a6c330007228ad_240x180.jpg "2019 г., 2.5л., вариаторседан, гибридруль слева, 61 000 км"
"Volkswagen Multivan" "$ 12 200" https://im.mashina.kg/tachka/images//4/f/c/4fc192862229df7d46961b870061d962_240x180.jpg "2006 г., 2.5л., механикаминивэн, дизельруль слева"
"Toyota Camry" "$ 29 900" https://im.mashina.kg/tachka/images//9/8/b/98bc25c35fb4e13c0c650545e417861b_240x180.jpg "2020 г., 2.5л., вариаторседан, гибридруль слева, 50 000 км"
"Toyota Avensis" "$ 7 300" https://im.mashina.kg/tachka/images//f/0/6/f06d719019025c1ab5e10813dd09737e_240x180.jpg "2003 г., 2л., механикаседан, бензинруль слева, 273 000 км"
"Toyota Camry" "$ 23 500" https://im.mashina.kg/tachka/images//2/7/1/2711737d958e1756276bccd19fb19779_240x180.jpg "2017 г., 2.5л., автоматседан, бензинруль слева, 37 000 км"
"Toyota Prius" "$ 10 800" https://im.mashina.kg/tachka/images//4/5/f/45f4ef00d0c7486aad96e44d6bfb15dc_240x180.jpg "2011 г., 1.8л., автоматхэтчбек 5 дв., гибридруль слева, 134 568 км"
"Toyota Avalon" "$ 39 999" https://im.mashina.kg/tachka/images//f/0/9/f0915a662f18e7c73f75c03513f8d1d1_240x180.jpg "2019 г., 2.5л., вариаторседан, гибридруль слева, 65 000 км"
"Mercedes-Benz M-класс" "$ 35 000" https://im.mashina.kg/tachka/images//3/1/e/31e02516f81fe4435b731d71ada10a37_240x180.jpg "2015 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 148 000 км"
"Toyota Avalon" "$ 49 999" https://im.mashina.kg/tachka/images//e/e/0/ee0adbbb786e4354b70d626335b0c849_240x180.jpg "2022 г., 2.5л., вариаторседан, гибридруль слева, 1 000 км"
"Kia Sorento" "$ 27 000" https://im.mashina.kg/tachka/images//7/6/6/7660f98914132145cf44b4981d622476_240x180.jpg "2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 130 000 км"
"Toyota Camry" "$ 19 200" https://im.mashina.kg/tachka/images//4/c/2/4c232824c53c6f66b21cfbcb5932bcf1_240x180.jpg "2014 г., 2.5л., автоматседан, бензинруль слева, 133 450 км"
"Mercedes-Benz E-класс" "$ 11 300" https://im.mashina.kg/tachka/images//0/a/9/0a9931baa12c267cde4c11be2c9e121e_240x180.jpg "2003 г., 3.2л., автоматседан, бензинруль слева, 245 000 км"
"Toyota Highlander" "$ 37 500" https://im.mashina.kg/tachka/images//e/1/f/e1ffc3dc73790756f0e8461ef322b3c7_240x180.jpg "2015 г., 3.5л., автоматвнедорожник 5 дв., бензинруль слева, 170 000 км"
"Hyundai Avante" "$ 14 500" https://im.mashina.kg/tachka/images//c/8/a/c8ad91614a54e8a7a262bf931d2567d8_240x180.jpg "2016 г., 1.6л., автоматседан, бензинруль слева, 148 000 км"
